team;T.min.;ints;dur;gr_int;pos;neg
20;33;24;63;6;3;2
20;34;29;71;4;1;1
20;35;23;65;5;3;0
20;36;25;73;3;6;1
20;37;24;79;0;3;5
20;38;32;84;3;8;3
20;39;18;67;3;3;3
20;40;7;21;1;2;1
20;41;21;66;2;2;2
20;42;19;62;6;0;0
20;43;33;102;7;7;0
20;44;29;66;8;6;2
20;45;30;88;9;1;1
20;46;30;59;6;4;5
20;47;32;81;9;4;1
20;48;31;103;3;3;2
20;49;20;63;0;6;2
20;50;21;68;0;2;4
20;51;33;68;4;13;1
20;52;26;119;2;5;2
20;53;25;105;4;4;1
20;54;16;50;0;5;2
20;55;14;59;2;0;1
20;56;14;48;2;2;1
20;57;20;58;1;1;6
20;58;17;63;2;2;1
20;59;14;50;0;3;1
20;60;14;32;3;1;1
22;1;14;53;4;0;0
22;2;23;64;1;1;1
22;3;22;75;1;1;0
22;4;16;84;1;2;0
22;5;24;84;0;5;0
22;6;25;67;4;3;0
22;7;25;62;8;0;0
22;8;25;68;11;2;0
22;9;31;77;3;0;0
22;10;33;84;8;3;1
22;11;26;58;6;3;1
22;12;22;61;10;2;1
22;13;31;78;6;2;0
22;14;25;90;2;1;1
22;15;14;62;0;0;0
22;16;26;65;2;2;1
22;17;25;83;2;3;0
22;18;31;78;4;3;1
22;19;36;100;9;3;0
22;20;31;86;9;5;3
22;21;35;111;1;6;1
22;22;36;110;3;3;5
22;23;30;125;1;2;1
22;24;37;96;3;1;1
22;25;28;107;3;1;0
22;26;26;86;3;5;0
22;27;25;75;1;0;2
22;28;33;97;7;0;1
22;29;25;119;3;2;2
22;30;13;57;2;1;1
22;31;25;68;6;3;1
22;32;22;79;7;2;0
22;33;19;65;4;1;0
22;34;25;72;6;0;2
22;35;28;89;4;1;0
22;36;22;60;4;4;0
22;37;32;63;3;3;0
22;38;30;96;8;4;0
22;39;25;71;8;0;0
22;40;23;63;2;1;0
22;41;21;40;5;0;0
22;42;20;57;8;1;0
22;43;21;50;10;2;0
22;44;27;63;3;0;0
22;45;31;67;10;8;1
22;46;24;80;8;2;2
22;47;35;90;7;2;1
22;48;42;116;9;3;0
22;49;34;120;9;3;1
22;50;35;77;14;5;0
22;51;31;92;10;2;1
22;52;37;67;10;9;0
22;53;34;58;16;4;1
23;1;17;54;4;0;0
23;2;28;78;4;3;2
23;3;15;28;1;2;2
23;4;11;38;4;0;0
23;5;9;49;2;3;0
23;6;22;54;4;4;1
23;7;29;75;6;5;2
23;8;31;120;0;3;0
23;9;32;92;0;4;1
23;10;35;87;3;3;1
23;11;24;62;6;0;0
23;12;37;119;0;1;0
23;13;20;51;8;0;2
23;14;23;55;2;0;1
23;15;14;60;7;1;0
23;16;26;55;9;4;0
23;17;16;41;4;3;1
23;18;12;33;4;1;2
23;19;17;61;6;0;0
23;20;28;88;8;1;0
23;21;29;76;14;1;0
23;22;28;69;10;4;3
23;23;27;71;4;3;3
23;24;16;45;4;4;0
23;25;30;50;10;0;10
23;26;16;51;6;3;1
23;27;7;16;1;0;2
23;28;21;38;1;0;0
23;29;24;45;4;2;2
23;30;28;61;11;0;4
23;31;42;72;2;4;1
23;32;22;44;5;2;5
23;33;26;55;7;2;6
23;34;15;58;5;2;1
23;35;12;31;3;0;0
23;36;24;61;5;1;3
23;37;12;24;1;1;1
23;38;18;56;5;3;3
23;39;30;73;11;1;1
23;40;18;42;4;1;3
23;41;10;19;4;0;1
23;42;25;65;8;0;2
23;43;16;44;2;2;1
23;44;24;51;12;0;3
23;45;21;64;2;0;1
23;46;6;14;1;0;0
23;47;19;37;2;0;1
23;48;23;63;7;0;0
23;49;34;80;12;1;0
23;50;37;84;16;2;0
23;51;23;71;11;4;0
23;52;23;64;8;3;3
23;53;20;73;7;1;0
23;54;14;60;1;1;0
23;55;28;87;6;2;2
23;56;35;115;0;1;4
23;57;28;93;0;2;0
23;58;42;145;0;5;1
23;59;42;114;0;4;2
23;60;33;127;0;2;4
24;1;36;84;15;11;2
24;2;30;76;14;8;6
24;3;42;82;12;10;4
24;4;29;66;10;13;3
24;5;41;92;7;10;7
24;6;24;63;7;5;4
24;7;17;39;2;1;7
24;8;22;78;0;4;0
24;9;31;95;0;3;5
24;10;25;71;1;3;2
24;11;22;66;0;4;3
24;12;29;84;0;5;5
24;13;26;66;7;5;2
24;14;25;75;7;4;5
24;15;20;54;6;4;4
24;16;23;58;4;12;4
24;17;23;61;10;3;2
24;18;19;58;6;6;6
24;19;21;69;6;2;4
24;20;25;76;12;7;3
24;21;30;76;13;10;4
24;22;20;39;5;4;1
24;23;29;55;9;8;9
24;24;20;63;5;5;5
24;25;27;56;10;4;7
24;26;11;27;5;1;3
24;27;14;32;5;2;5
24;28;20;56;6;4;2
24;29;32;74;10;8;2
24;30;24;52;4;5;2
24;31;16;34;2;3;1
24;32;20;54;4;7;0
24;33;23;55;2;5;1
24;34;17;48;2;3;0
24;35;17;41;5;4;3
24;36;19;53;3;5;0
24;37;30;80;7;11;2
24;38;21;43;3;5;0
24;39;38;83;10;8;3
24;40;30;74;5;5;3
24;41;24;45;3;8;3
24;42;50;106;13;12;9
24;43;40;87;20;15;4
24;44;34;71;16;6;6
24;45;23;65;11;3;5
24;46;39;102;2;5;4
24;47;29;85;0;7;5
24;48;38;115;0;5;3
24;49;41;99;0;9;3
24;50;36;97;0;4;6
24;51;19;69;8;3;5
24;52;19;46;4;8;2
24;53;27;62;4;6;6
24;54;22;43;5;6;4
24;55;26;62;3;9;0
24;56;25;56;6;2;11
24;57;11;24;2;2;0
24;58;26;52;4;2;12
24;59;30;98;10;9;5
24;60;24;60;9;8;1
26;1;25;76;10;3;1
26;2;39;96;14;3;2
26;3;31;87;5;4;3
26;4;37;106;12;0;3
26;5;37;114;7;1;11
26;6;31;90;7;5;2
26;7;24;64;7;9;6
26;8;34;80;8;2;3
26;9;28;73;9;3;5
26;10;30;90;6;1;4
26;11;35;80;12;1;6
26;12;38;81;8;2;6
26;13;31;80;9;0;11
26;14;25;77;2;5;0
26;15;26;77;1;5;0
26;16;32;94;4;0;1
26;17;28;98;5;1;2
26;18;25;66;4;1;1
26;19;27;74;3;2;2
26;20;18;73;3;1;1
26;21;21;66;4;1;0
26;22;23;61;5;1;2
26;23;38;79;2;3;1
26;24;30;112;4;1;8
26;25;16;61;4;0;2
26;26;20;53;7;4;1
26;27;26;77;4;1;0
26;28;32;83;4;0;1
26;29;11;40;0;2;2
26;30;5;15;0;0;1
26;31;30;67;7;0;5
26;32;29;77;9;6;2
26;33;28;80;2;4;8
26;34;38;84;11;0;4
26;35;31;81;10;9;1
26;36;33;91;10;2;0
26;37;42;107;18;0;0
26;38;32;89;11;3;7
26;39;49;116;15;4;2
26;40;39;99;15;3;2
26;41;26;58;8;2;2
26;42;30;79;7;4;0
26;43;34;121;4;2;0
26;44;36;122;2;5;0
26;45;27;97;5;2;3
26;46;20;72;3;3;4
26;47;30;86;6;6;1
26;48;19;45;5;1;1
26;49;20;51;3;1;2
26;50;37;94;8;3;4
26;51;37;108;4;3;1
26;52;41;147;0;4;2
26;53;28;119;1;0;1
26;54;37;108;5;2;4
26;55;38;93;17;5;1
26;56;44;102;19;5;1
26;57;41;86;15;7;1
26;58;32;72;7;4;1
26;59;22;39;9;2;0
27;1;29;84;8;4;0
27;2;42;97;10;16;0
27;3;29;105;6;6;0
27;4;39;100;6;1;0
27;5;31;83;8;8;0
27;6;44;112;4;9;2
27;7;27;78;3;1;1
27;8;41;83;9;6;1
27;9;32;68;3;6;0
27;10;7;20;2;0;0
27;11;15;45;7;1;0
27;12;20;56;3;2;0
27;13;21;69;3;1;0
27;14;25;83;4;1;0
27;15;19;58;3;2;1
27;16;30;117;3;4;0
27;17;21;102;2;1;0
27;18;19;70;5;2;1
27;19;29;72;2;2;1
27;20;22;79;11;0;0
27;21;24;54;8;1;0
27;22;39;106;4;2;1
27;23;20;83;1;1;0
27;24;26;72;5;1;5
27;25;27;106;3;1;0
27;26;29;118;4;0;3
27;27;30;61;2;4;0
27;28;38;96;16;6;0
27;29;34;101;12;1;4
27;30;16;44;3;1;0
27;31;17;54;5;3;1
27;32;22;103;0;1;0
27;33;26;73;5;2;0
27;34;21;90;5;5;1
27;35;13;44;2;1;1
27;36;23;73;3;3;0
27;37;17;62;6;2;0
27;38;27;67;11;4;1
27;39;23;65;1;2;4
27;40;18;54;4;1;0
27;41;19;73;4;1;0
27;42;11;33;2;4;0
27;43;14;69;7;2;1
27;44;32;74;8;3;2
27;45;22;91;6;2;1
27;46;26;73;4;2;1
27;47;31;94;3;7;0
27;48;34;78;6;3;0
27;49;37;103;13;9;2
27;50;31;81;14;5;1
27;51;29;77;7;1;0
27;52;18;79;2;1;0
27;53;17;66;1;2;1
27;54;17;50;5;1;0
27;55;33;105;0;1;0
27;56;32;133;0;7;0
27;57;32;128;4;6;0
27;58;32;107;1;3;0
27;59;36;113;14;2;0
27;60;40;107;13;9;0
28;1;24;69;10;4;0
28;2;24;62;8;0;0
28;3;22;60;6;0;0
28;4;12;65;4;0;0
28;5;27;80;7;1;2
28;6;15;67;0;2;1
28;7;21;56;5;0;0
28;8;15;50;1;1;0
28;9;9;28;1;1;0
28;10;14;49;3;2;0
28;11;35;105;1;3;0
28;12;19;51;6;3;0
28;13;24;59;5;0;0
28;14;22;70;2;1;0
28;15;24;77;0;1;2
28;16;24;73;1;0;1
28;17;32;101;1;1;0
28;18;11;64;1;0;0
28;19;30;83;2;4;0
28;20;36;99;11;1;0
28;21;26;64;13;1;0
28;22;12;30;2;0;0
28;23;8;24;2;0;0
28;24;18;46;6;2;0
28;25;10;27;1;0;0
28;26;18;68;4;1;3
28;27;29;66;5;0;0
28;28;19;62;5;1;0
28;29;11;35;3;2;1
28;30;21;63;8;2;0
28;31;12;54;0;3;0
28;32;22;89;1;0;2
28;33;25;84;2;1;0
28;34;23;72;9;2;0
28;35;34;87;17;2;0
28;36;16;46;3;4;0
28;37;20;57;6;0;0
28;38;20;56;3;4;0
28;39;13;45;0;2;0
28;40;15;69;1;1;1
28;41;12;29;4;1;0
28;42;6;21;0;0;0
28;43;9;21;0;0;0
28;44;29;83;7;0;1
28;45;19;69;0;0;0
28;46;8;53;0;2;0
28;47;17;105;1;1;0
28;48;20;72;0;0;2
28;49;21;65;0;0;0
28;50;16;54;6;0;0
28;51;20;46;9;1;1
28;52;19;65;3;2;0
28;53;21;97;4;0;0
28;54;21;73;0;4;4
28;55;17;47;0;0;0
28;56;19;87;0;1;0
28;57;17;38;3;2;3
28;58;14;58;3;2;0
28;59;13;34;3;0;0
28;60;18;52;0;0;1
29;1;31;96;12;1;0
29;2;28;115;6;0;0
29;3;18;72;9;1;0
29;4;24;85;9;2;0
29;5;27;90;4;0;2
29;6;23;92;2;1;0
29;7;36;91;12;3;0
29;8;26;68;4;3;0
29;9;30;103;5;3;4
29;10;30;111;5;3;3
29;11;16;60;0;2;0
29;12;19;72;1;2;0
29;13;32;87;6;1;0
29;14;24;124;7;1;1
29;15;4;28;0;0;0
29;16;18;74;3;0;2
29;17;29;76;6;1;0
29;18;19;67;5;3;0
29;19;25;79;2;0;0
29;20;35;80;1;3;0
29;21;23;84;10;3;0
29;22;11;52;4;2;0
29;23;26;90;9;2;0
29;24;24;61;6;0;0
29;25;40;95;13;2;2
29;26;25;72;4;1;0
29;27;25;70;5;2;0
29;28;25;82;7;2;1
29;29;18;58;9;1;0
29;30;24;63;2;0;0
29;31;16;85;4;0;0
29;32;17;74;2;1;1
29;33;24;60;3;0;1
29;34;29;80;12;3;0
29;35;25;74;8;2;1
29;36;22;67;2;0;0
29;37;21;71;4;1;1
29;38;17;112;2;0;0
29;39;11;73;1;0;0
29;40;10;50;2;1;0
29;41;12;66;5;2;0
29;42;22;73;2;1;0
29;43;22;83;7;0;0
29;44;9;27;1;0;0
29;45;35;83;6;1;0
29;46;29;81;9;4;1
29;47;18;49;5;0;0
29;48;14;46;1;0;0
29;49;26;78;5;0;0
29;50;18;80;8;1;3
29;51;29;113;12;2;0
29;52;22;74;0;3;0
29;53;22;64;7;1;0
29;54;27;95;13;4;0
29;55;41;104;16;2;5
29;56;12;42;6;1;0
29;57;15;52;3;2;0
29;58;32;108;6;1;5
29;59;31;96;3;1;3
29;60;20;72;6;2;0
31;1;24;76;6;8;0
31;2;17;43;1;3;0
31;3;22;76;0;2;0
31;4;15;71;0;1;0
31;5;14;52;1;3;0
31;6;21;77;2;2;0
31;7;21;88;0;0;0
31;8;24;72;3;3;0
31;9;26;64;1;2;0
31;10;12;50;4;0;0
31;11;16;47;1;2;0
31;12;26;74;7;2;0
31;13;13;50;3;0;0
31;14;25;78;8;0;0
31;15;20;62;5;3;0
31;16;28;82;13;3;0
31;17;20;65;8;1;0
31;18;11;67;5;1;0
31;19;21;73;4;3;3
31;20;15;81;3;0;0
31;21;13;41;1;1;0
31;22;19;61;2;2;1
31;23;24;70;2;0;0
31;24;16;58;1;1;1
31;25;27;91;5;2;1
31;26;13;40;3;0;1
31;27;29;80;11;8;0
31;28;17;57;4;1;0
31;29;18;56;3;3;1
31;30;27;71;3;2;0
31;31;18;82;6;1;1
31;32;19;65;3;2;0
31;33;15;47;4;5;0
31;34;25;74;2;10;0
31;35;23;74;0;1;1
31;36;20;86;0;0;1
31;37;20;56;0;1;2
31;38;27;84;4;2;3
31;39;16;63;8;2;1
31;40;22;71;7;3;0
31;41;13;70;1;3;0
31;42;26;83;7;3;2
31;43;22;151;1;4;1
31;44;23;86;4;3;2
31;45;32;82;1;6;0
31;46;11;41;1;1;0
31;47;27;91;2;5;0
31;48;22;99;4;5;1
31;49;21;65;4;0;0
31;50;21;99;0;1;1
31;51;29;81;6;3;2
31;52;19;60;6;2;0
31;53;18;75;5;1;0
31;54;19;54;2;4;1
31;55;4;20;0;0;0
31;56;23;63;5;1;0
31;57;19;56;9;2;2
31;58;29;89;13;4;0
31;59;30;90;8;4;1
31;60;33;84;12;5;0
32;1;28;71;11;4;3
